ref,source,haplotype,file,file_type
trifolium_repens,AgR_To_v5_Griffiths,1,GCA_005869975.1_AgR_To_v5_genomic.fna.gz,genome
trifolium_repens,drTriRepe_Olsen,1,GCA_032173615.1_drTriRepe4_hap1_1.5_genomic.fna.gz,genome
trifolium_repens,drTriRepe_Olsen,2,GCA_052626445.1_drTriRepe3_hap2_genomic.fna.gz,genome
trifolium_repens,drTriRepe_Sanger,1,GCA_977963945.1_drTriRepe1.hap1.1_genomic.fna.gz,genome
trifolium_repens,drTriRepe_Sanger,2,GCA_977964325.1_drTriRepe1.hap2.1_genomic.fna.gz,genome
trifolium_repens,UTM_Trep_v1.0,haploid,GCA_030408175.1_UTM_Trep_v1.0_genomic.fna.gz,genome
trifolium_repens,UTM_Trep_v1.0,1,GCA_030914245.1_UTM_Trep_v1.0_hap1_genomic.fna.gz,genome
trifolium_repens,UTM_Trep_v1.0,2,GCA_030914255.1_UTM_Trep_v1.0_hap2_genomic.fna.gz,genome
trifolium_repens,Wang2023,1,wang2023_final_genome.fna.gz,genome
